Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
ILDONG PHARM CO LTD,[Not Available],[Not Available],"ILDONG PHARM CO LTD is a South Korean pharmaceutical company engaged in the research, development, manufacturing, and distribution of pharmaceutical products, health supplements, and functional foods.",[Not Available],Pharmaceuticals,No,Yes,Yes,No
ILERA DERM LLC,[Not Available],[Not Available],"ILERA DERM LLC specializes in the development of skincare products, particularly focusing on treatments for various skin conditions using natural and effective ingredients.",[Not Available],Skincare / Dermatology,No,Yes,No,No
ILLINOIS TOOL WORKS INC,https://www.itw.com/,"Glenview, Illinois, United States","Illinois Tool Works Inc. (ITW) is a global manufacturer of industrial products and equipment, serving diversified markets worldwide, including automotive, food equipment, and electronics.",1912,Industrial Manufacturing,No,Yes,No,No
ILLUCIDX INC,[Not Available],[Not Available],"ILLUCIDX INC is a biotechnology company focusing on the development of diagnostic solutions, particularly for the detection of infectious diseases, including COVID-19.",[Not Available],Biotechnology / Diagnostics,No,Yes,Yes,No
ILLUMINA INC,https://www.illumina.com/,"San Diego, California, United States","Illumina, Inc. is a global leader in DNA sequencing and array-based technologies, serving the needs of genomics research, clinical applications, and personalized medicine.",1998,Biotechnology / Genomics,No,Yes,Yes,No
ILOF-INTELLIGENT LAB FIBER LDA,https://www.ilof.tech/,"Porto, Portugal",iLoF (Intelligent Lab on Fiber) is a technology company specializing in the development of photonics and artificial intelligence-based solutions for the diagnosis and treatment of complex diseases.,2019,Biotechnology / Photonics,No,Yes,Yes,No
ILYTICA LLC,[Not Available],[Not Available],"ILYTICA LLC focuses on providing analytical solutions and consultancy services, particularly in the healthcare and pharmaceutical sectors.",[Not Available],Healthcare Consulting,No,Yes,No,No
IMAGENE ME SA,https://www.imageneme.com/,"Paris, France","Imagene Me is a biotechnology company that provides personalized genetic analysis services, helping individuals understand their genetic predispositions to various health conditions.",2020,Biotechnology / Genetic Analysis,No,Yes,No,No
IMAGINATIVES GROUP LTD,[Not Available],[Not Available],"Imaginatives Group Ltd is a creative technology company, focusing on the development of innovative solutions in the fields of virtual reality, augmented reality, and digital health.",[Not Available],Technology / Digital Health,No,Yes,No,No
IMARA INC,https://www.imaratx.com/,"Boston, Massachusetts, United States","Imara Inc. is a biopharmaceutical company dedicated to developing and commercializing innovative therapies for patients with rare genetic disorders, particularly focusing on hemoglobinopathies.",2016,Biopharmaceuticals,No,Yes,Yes,No
IMBA MOLECULAR BIOTECHNOLOGY INST GMBH,https://www.imba.oeaw.ac.at/,"Vienna, Austria",IMBA (Institute of Molecular Biotechnology) is a leading research institute that focuses on innovative research in molecular biology and biotechnology to understand fundamental biological processes.,1999,Biotechnology / Research,No,No,Yes,No
IMBRIA PHARM INC,[Not Available],[Not Available],Imbria Pharmaceuticals is a clinical-stage biopharmaceutical company focused on developing innovative therapies for cardiovascular and metabolic diseases.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
