Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic)
NANJING JINGZHUN BIOTECHNOLOGY CO LTD,[Not Available],"Nanjing, China",[Not Available],[Not Available],Biotechnology,No,Yes,No,No
NAT MEDICAL RES CENT RADIOLOGY,[Not Available],[Not Available],[Not Available],[Not Available],Medical Research,Yes,No,Yes,Yes
NLS PHARM AG,[Not Available],[Not Available],[Not Available],[Not Available],Pharmaceuticals,No,Yes,No,No
VACCINE FORMULATION INST CH LTD,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,Yes,No
WENZHOU OJA BIOTECHNOLOGY CO LTD,[Not Available],"Wenzhou, China",[Not Available],[Not Available],Biotechnology,No,Yes,No,No
XINJIANG QUANAN PHARM CO LTD,[Not Available],"Xinjiang, China",[Not Available],[Not Available],Pharmaceuticals,No,Yes,No,No
OGAWA & CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No
OHA HONEY LP,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No
OHIO STATE INNOVATION FOUND,[Not Available],"Ohio, United States",Ohio State Innovation Foundation supports the commercialization of innovations developed at Ohio State University.,[Not Available],Research and Development,No,No,Yes,No
OJAI ENERGETICS PBC,[Not Available],"Ojai, California, United States",Ojai Energetics focuses on the development of cannabinoid-based therapeutics.,[Not Available],Biotechnology,No,Yes,No,No
OKABE IND MACHINERIES KK,[Not Available],[Not Available],[Not Available],[Not Available],Industrial Machinery,No,Yes,No,No
OKLAHOMA MEDICAL RES FOUND,[Not Available],"Oklahoma, United States",Oklahoma Medical Research Foundation conducts medical research to advance health and understand diseases.,[Not Available],Research and Development,No,No,Yes,No
OKOS DIAGNOSTICS BV,[Not Available],[Not Available],[Not Available],[Not Available],Diagnostics,No,Yes,No,No
OLATEC THERAPEUTICS INC,[Not Available],[Not Available],[Not Available],[Not Available],"Biotechnology, Pharmaceuticals",No,Yes,No,No
OLDCASTLE BUILDINGENVELOPE INC,[Not Available],[Not Available],[Not Available],[Not Available],Building Materials,No,Yes,No,No
OLISA CARE SARL,[Not Available],[Not Available],[Not Available],[Not Available],Healthcare,No,Yes,No,No
OLIVE GIKEN LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No
OLYMPIA LIGHTING INC,[Not Available],[Not Available],[Not Available],[Not Available],Lighting,No,Yes,No,No
OLYMPIA LONDON LTD,[Not Available],"London, United Kingdom",[Not Available],[Not Available],[Not Available],No,Yes,No,No
OM COLOR COPY KK,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No
OM PHARMA SA,[Not Available],[Not Available],[Not Available],[Not Available],Pharmaceuticals,No,Yes,No,No
OMACHRON INTELLECTUAL PROPERTY INC,[Not Available],[Not Available],[Not Available],[Not Available],Intellectual Property,No,Yes,No,No
OMEGA BIOTECHNOLOGY LUAN CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
OMEGA THERAPEUTICS INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
OMEROS CORP,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
OMNI INT INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No
OMNIPRESENCE EMERGING SOLUTIONS PRIVATE LTD,[Not Available],[Not Available],[Not Available],[Not Available],Emerging Technologies,No,Yes,No,No
OMVAX INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCIMMUNE GERMANY GMBH,[Not Available],Germany,Oncimmune focuses on developing immune profiling technologies and assays.,[Not Available],Biotechnology,No,Yes,No,No
ONCOCROSS CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCODESIGN PRECISION MEDICINE,[Not Available],[Not Available],[Not Available],[Not Available],Precision Medicine,No,Yes,No,No
ONCODESIGN SA,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCOGENUITY INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCOIMMUNIN INC,[Not Available],[Not Available],[Not Available],[Not Available],Immunotherapy,No,Yes,No,No
ONCOLOGY VENTURE APS,[Not Available],Denmark,Oncology Venture focuses on precision medicine for cancer treatment.,[Not Available],Biotechnology,No,Yes,No,No
ONCOLYS BIOPHARMA INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCOONE RES & DEV GMBH,[Not Available],[Not Available],[Not Available],[Not Available],Research and Development,No,Yes,No,No
ONCORESPONSE INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCORUS INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No
ONCOSEC MEDICAL INC,[Not Available],[Not Available],OncoSec Medical Inc focuses on developing immune-oncology therapies.,[Not Available],Biotechnology,No,Yes,No,No
