Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),Institution Name
100 COFOUNDERS LAB LLP,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT BIOLOGICAL SCI BEIJING INST
101 THERAPEUTICS LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT BIOMEDICAL INNOVATION INST
10x Genomics Inc.,[Not Available],United States,A biotechnology company specializing in developing innovative genomic and cellular analysis technologies.,2012,Biotechnology,No,Yes,No,No,NAT CANCER CENT
12354870 CANADA INC,[Not Available],Canada,[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CENT AIDS/STD CONTROL & PREVENTION
123IV Inc.,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CENT BIOLOGICAL SCI
1Drop Inc.,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No,NAT CENT CELL SCI
1Globe Biomedical Co Ltd,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CENT CHILD HEALTH & DEV
1Globe Health Inst LLC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CENT GLOBAL HEALTH & MEDICINE
2 DEGREE STUDIO LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CENT NANOSCIENCE & TECHNOLOGY CHINA
2 V IND INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CENT NEUROLOGY & PSYCHIATRY
20MED THERAPEUTICS BV,[Not Available],Netherlands,A biotechnology company focused on developing RNA-based therapeutics.,2018,Biotechnology,No,Yes,No,No,NAT CENT SCI RES
22ND RESEARCH INSTITUTE OF CHINA ELECTRONICS TECHNOLOGY GROUP CORPORATION,[Not Available],China,"A research institute under the China Electronics Technology Group Corporation (CETC), focusing on electronics and information technology.",[Not Available],Electronics and Information Technology,Yes,No,Yes,No,NAT CHEM PHYSICS & BIOPHYSICS INST
2449049 ONTARIO INC,[Not Available],Canada,[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT CLINICAL INFECTIOUS DISEASES SHENZHE
2B-SHVAT LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT COUNCIL SCI & TECH RES CONICET
2HEAL INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS PARA USO INDUSTRIAL LTDA,[Not Available],Brazil,[Not Available],[Not Available],Chemical Industry,No,Yes,No,No,NAT DEFENSE MEDICAL CENT
2PI-SIGMA CORP,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT DEV RIKAGAKU KENKYUSHO INST
2WAVE DIAGNOSTICS BV,[Not Available],Netherlands,A diagnostics company specializing in the development of innovative diagnostic tools for various diseases.,[Not Available],Diagnostics,No,Yes,No,No,NAT EPIDEMIOLOGY & MICROBIOLOGY RES CENT
3 MORENAS DO BRASIL IND & COMERCIO LTDA ME,[Not Available],Brazil,[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT GUARD HEALTH AFFAIRS
3A-DIAGNOSTICS GMBH,[Not Available],Germany,A biotechnology company focused on developing diagnostic tools for various diseases.,[Not Available],Biotechnology,No,Yes,No,No,NAT HEALTH KOREA CENT DISEASE CONTR INST
3D ENG DESIGN LTD,[Not Available],[Not Available],[Not Available],[Not Available],Engineering Design,No,Yes,No,No,NAT HEALTH RES INST
3DMEDITECH PTY LTD,[Not Available],Australia,A medical technology company specializing in 3D printing solutions for healthcare applications.,[Not Available],Medical Technology,No,Yes,No,No,NAT HOSPITAL ORG
3EO HEALTH INC,[Not Available],[Not Available],[Not Available],[Not Available],Healthcare,No,Yes,No,No,NAT IMMIGRATION ADMINISTRATION SECOND
3M INNOVATIVE PROPERTIES CO,[Not Available],United States,"A division of 3M Company, focusing on the development and management of intellectual property across various industries.",[Not Available],Technology and Manufacturing,No,Yes,No,No,NAT INNOVATION FOUND-INDIA
3N VENTURES PTE LTD,[Not Available],Singapore,[Not Available],[Not Available],Venture Capital,No,Yes,No,No,NAT INST ADVANCED IND SCI & TECHNOLOGY
4 D PHARM RES CO LTD,[Not Available],China,[Not Available],[Not Available],Pharmaceutical,No,Yes,No,No,NAT INST BIOLOGICAL SCI BEIJING
48 CENT SCI RES INST,[Not Available],[Not Available],[Not Available],[Not Available],Scientific Research,Yes,No,Yes,No,NAT INST BIOMEDICAL INNOVATION
4BASEBIO,[Not Available],Germany,A biotechnology company focused on DNA synthesis and related biotechnologies.,[Not Available],Biotechnology,No,Yes,No,No,NAT INST COMMUNICABLE DISEASES
4D MOLECULAR THERAPEUTICS INC,[Not Available],United States,A biopharmaceutical company specializing in the development of gene therapy products.,[Not Available],Biopharmaceutical,No,Yes,No,No,NAT INST DEV RIKAGAKU KENKYUSHO
4E THERAPEUTICS INC,[Not Available],United States,A biotechnology company focused on developing therapeutics for various diseases.,[Not Available],Biotechnology,No,Yes,No,No,NAT INST FOOD & DRUG CONTROL
4MVAC LLC,[Not Available],United States,A healthcare company involved in the development of vaccines and related technologies.,[Not Available],Healthcare,No,Yes,No,No,NAT INST HEALTH KOREA CENT DISEASE CONTR
4N INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT INST HEALTH SCI
4P PHARMA,[Not Available],France,A biotechnology company focused on the development and commercialization of innovative therapeutics.,[Not Available],Biotechnology,No,Yes,No,No,NAT INST IMMUNOLOGY
4TEEN4 PHARM GMBH,[Not Available],Germany,A pharmaceutical company focused on the development of therapeutic solutions for critical care patients.,[Not Available],Pharmaceutical,No,Yes,No,No,NAT INST INFECTIOUS DISEASES
60 DEGREES PHARM LLC,[Not Available],United States,A pharmaceutical company focused on developing treatments for tropical diseases and other neglected conditions.,[Not Available],Pharmaceutical,No,Yes,No,No,NAT INST MATERIALS SCI
6J BIOTECHNOLOGY HONG KONG LTD,[Not Available],Hong Kong,A biotechnology company specializing in innovative solutions for healthcare and diagnostics.,[Not Available],Biotechnology,No,Yes,No,No,NAT INST METROLOGY CHINA
9 METERS BIOPHARMA INC,[Not Available],United States,A biopharmaceutical company focused on developing treatments for rare and unmet medical needs.,[Not Available],Biopharmaceutical,No,Yes,No,No,NAT INST STANDARDS & TECHNOLOGY
A & J SCI CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT INST VIRAL DISEASE CONTROL & PREVENT
A BODY CORP,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT JEWISH HEALTH
A VIRTUAL CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT KUMOH TECHNOLOGY IND-ACADEMIC COOP
A VOGEL AG,[Not Available],Switzerland,A Swiss company specializing in natural health products and herbal remedies.,[Not Available],Health and Wellness,No,Yes,No,No,NAT MEDICAL RES CENT RADIOLOGY
A-CLIP INST CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NAT MEDICAL RES CENT REHABILITATION BALN
A9.COM INC,[Not Available],United States,A subsidiary of Amazon focused on research and development in the field of search and advertising technologies.,2003,Technology,No,Yes,No,No,NAT OCCUPATIONAL HEALTH INST
AADIGEN LLC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No,NAT RES & DEV CORP NAT CANCER RES CENT
AAF LUFTTECH GMBH,[Not Available],Germany,A company specializing in air filtration solutions for various industries.,[Not Available],Air Filtration,No,Yes,No,No,NAT RES CENT EPIDEMIOLOGY & MICROBIOLOGY
AAJ COMPUTER SERVICES INC,[Not Available],United States,A company providing IT services and solutions to various industries.,[Not Available],Information Technology,No,Yes,No,No,NAT RES CENT IMMUNOLOGY FEDERAL MEDICAL
AARDVARK EVENT LOGISTICS INC,[Not Available],United States,A company specializing in event logistics and management services.,[Not Available],Event Logistics,No,Yes,No,No,NAT RES COUNCIL CANADA
AASAYA LIFESCI GMBH,[Not Available],Germany,A biotechnology company focused on developing therapeutic solutions for various diseases.,[Not Available],Biotechnology,No,Yes,No,No,NAT RES INST CHINESE MEDICINE
AATEC MEDICAL GMBH,[Not Available],Germany,A medical technology company specializing in the development of medical devices.,[Not Available],Medical Technology,No,Yes,No,No,NAT SOC MEDICAL SCIENTISTS
AAVAA THERAPEUTICS INC,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No,NAT TECHNOLOGY & ENG SOLUTIONS SANDIA
AB SCI,[Not Available],[Not Available],[Not Available],[Not Available],Biotechnology,No,Yes,No,No,NAT VACCINE INST
AB STUDIO INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NATERA INC
AB-BIOTICS SA,[Not Available],Spain,A biotechnology company specializing in the development of probiotics and other biotechnological solutions.,2004,Biotechnology,No,Yes,No,No,NATIONWIDE CHILDRENS HOSPITAL RES INST
AB2 BIO SA,[Not Available],Switzerland,A biotechnology company focused on the development of treatments for rare and severe inflammatory diseases.,[Not Available],Biotechnology,No,Yes,No,No,NATOUR BIOPHARM CO LTD
ABACA PHARMA PRIVATE LTD,[Not Available],India,A pharmaceutical company focused on the development and commercialization of generic medicines and healthcare products.,[Not Available],Pharmaceutical,No,Yes,No,No,NATREON INC
ABALO THERAPEUTICS INC,[Not Available],United States,A biotechnology company focused on developing treatments for gastrointestinal disorders.,[Not Available],Biotechnology,No,Yes,No,No,NATURAL EXTRACTION SYSTEMS LLC
ABAXYS THERAPEUTICS SA,[Not Available],Switzerland,A biotechnology company focusing on the development of therapeutics for oncology and rare diseases.,[Not Available],Biotechnology,No,Yes,No,No,NATURAL RESOURCES FINLAND LUKE INST
ABB SCHWEIZ AG,[Not Available],Switzerland,"A subsidiary of ABB Group, focusing on providing innovative solutions in the fields of automation and robotics.",[Not Available],Industrial Automation and Robotics,No,Yes,No,No,NATURAMLA SRL
ABBISKO THERAPEUTICS CO LTD,[Not Available],China,A biopharmaceutical company focusing on the development of innovative cancer therapies.,[Not Available],Biopharmaceutical,No,Yes,No,No,NATURE CRETE PHARM PC
ABBOTT INC,[Not Available],United States,"A global healthcare company that provides a wide range of healthcare products, including diagnostics, medical devices, and pharmaceuticals.",1888,Healthcare,No,Yes,No,No,NATURES TOOLBOX INC
ABBRATECH INC,[Not Available],[Not Available],[Not Available],[Not Available],[Not Available],No,Yes,No,No,NATUREVIVE INNOVATION PRIVATE LTD
ABBVIE INC,[Not Available],United States,A global biopharmaceutical company focused on developing and delivering innovative medicines across various therapeutic areas.,2013,Biopharmaceutical,No,Yes,No,No,NATURUM CO LTD
