Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,Is a medical center (e.g. hospital or clinic),4. SHANGHAI JIADING CENTRAL HOSPITAL,15. SHANGHAI TONGREN HOSPITAL,O ChatGPT disse,I TECHNOLOGY CO LTD
SFENGO TECHNOLOGY CO LTD,[Not Available],[Not Available],[Not Available],[Not Available],Technology/Engineering,No,Yes,No,No,,,,
SG MEDICAL INC,[Not Available],[Not Available],[Not Available],[Not Available],Medical Devices,No,Yes,No,No,,,,
SG SAFETY CORP,[Not Available],[Not Available],[Not Available],[Not Available],Safety Equipment,No,Yes,No,No,,,,
SGE SUZHOU BIOTECH CO LTD,[Not Available],"Suzhou, China",A biotechnology company focused on the research and development of products in the healthcare sector.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHAANXI HOSPITAL OF TRADITIONAL CHINESE MEDICINE,[Not Available],"Xi'an, Shaanxi, China",A public hospital specializing in traditional Chinese medicine.,[Not Available],Healthcare,Yes,No,Yes,Yes,,,,
SHAANXI HANGUANG BIOTECHNOLOGY CO LTD,[Not Available],"Shaanxi, China",A biotechnology company engaged in the development and manufacturing of pharmaceutical products.,[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHAANXI MICROBIOLOGY INSTITUTE,[Not Available],"Shaanxi, China",A research institute focused on microbiological research and applications.,[Not Available],Microbiology/Research,Yes,No,Yes,No,,,,
SHAANXI NUOWEILIHUA BIOTECHNOLOGY CO LTD,[Not Available],"Shaanxi, China",A biotechnology company focused on the development and manufacturing of health products.,[Not Available],Biotechnology/Health Products,No,Yes,No,No,,,,
SHAANXI PANLONG PHARMACEUTICAL CO LTD,[Not Available],"Shaanxi, China",A pharmaceutical company specializing in the production of traditional Chinese medicines and health products.,[Not Available],Pharmaceuticals/Traditional Chinese Medicine,No,Yes,No,No,,,,
SHAANXI PHARMACEUTICAL HOLDING GROUP MEDICINE RESEARCH INSTITUTE,[Not Available],"Shaanxi, China","A research institute under the Shaanxi Pharmaceutical Holding Group, focused on the research and development of pharmaceutical products.",[Not Available],Pharmaceuticals/Research,No,No,Yes,No,,,,
SHAANXI PROVINCE TRADITIONAL CHINESE MEDICINE HOSPITAL,[Not Available],"Shaanxi, China",A public hospital specializing in traditional Chinese medicine.,[Not Available],Healthcare,Yes,No,Yes,Yes,,,,
SHANDONG ANPO BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company involved in the research and production of biotechnological products for various industries.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG AONONG PIG BREEDING CO LTD,[Not Available],"Shandong, China","A company focused on the breeding and cultivation of pigs, with an emphasis on agricultural biotechnology.",[Not Available],Agriculture/Biotechnology,No,Yes,No,No,,,,
SHANDONG BAIJIAWEI BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China","A biotechnology company specializing in the development of biotechnological products, particularly in the food and health industries.",[Not Available],Biotechnology/Food and Health,No,Yes,Yes,No,,,,
SHANDONG BELLASTEM BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company focused on stem cell research and regenerative medicine.,[Not Available],Biotechnology/Stem Cell Research,No,Yes,Yes,No,,,,
SHANDONG BINZHOU ANIMAL SCIENCE AND VETERINARY INSTITUTE,[Not Available],"Binzhou, Shandong, China","A research institute specializing in animal science, veterinary medicine, and disease prevention.",[Not Available],Veterinary/Animal Science,Yes,No,Yes,No,,,,
SHANDONG BIOBASE POCT CO LTD,[Not Available],"Shandong, China","A company engaged in the research, development, and production of point-of-care testing (POCT) devices and related biotechnology products.",[Not Available],Biotechnology/Medical Devices,No,Yes,Yes,No,,,,
SHANDONG CENTER FOR DISEASE CONTROL AND PREVENTION,[Not Available],"Shandong, China","A government organization responsible for public health, disease control, and prevention in the Shandong province.",[Not Available],Public Health,Yes,No,Yes,No,,,,
SHANDONG COMPUTER SCIENCE CENTER,[Not Available],"Shandong, China","A research center focused on computer science, technology development, and innovation.",[Not Available],Computer Science/Research,Yes,No,Yes,No,,,,
SHANDONG DENUO BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company engaged in the development and manufacturing of biotechnological products for various applications.,[Not Available],Biotechnology,No,Yes,Yes,No,,,,
SHANDONG DIMAN BIOTECHNOLOGY CO LTD,[Not Available],"Shandong, China",A biotechnology company focused on the research and development of products for the healthcare and pharmaceutical industries.,[Not Available],Biotechnology/Pharmaceuticals,No,Yes,Yes,No,,,,
SHANDONG DISHANG CORP UNIFORM GROUP CO LTD,[Not Available],"Shandong, China","A company specializing in the design, manufacturing, and supply of uniforms and other garments, with a focus on quality and innovation.",[Not Available],Textiles/Apparel,No,Yes,No,No,,,,
SHANDONG DUANQUAN HEALTH TECHNOLOGY CO LTD,[Not Available],"Shandong, China",A company focused on the development of health technologies and products aimed at improving well-being and healthcare outcomes.,[Not Available],Health Technology,No,Yes,Yes,No,,,,
SHANDONG DYNE MARINE BIOPHARMACEUTICAL CO LTD,[Not Available],"Shandong, China",A biopharmaceutical company focused on the development and production of marine-based pharmaceutical products.,[Not Available],Biopharmaceuticals/Marine Biotechnology,No,Yes,Yes,No,,,,
