Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
ABES ENG COLLEGE,http://www.abes.ac.in/,"Ghaziabad, Uttar Pradesh, India",ABES Engineering College is a technical institution offering undergraduate and postgraduate programs in engineering and management. It is known for its focus on academic excellence and industry-oriented training.,2000,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Management"
ACAD MEDISCH CENT AMSTERDAM,https://www.amc.nl/,"Amsterdam, Netherlands","AMC is one of the foremost medical institutions in the Netherlands, offering medical education, conducting research, and providing healthcare. It is affiliated with the University of Amsterdam and is known for its innovative research in various medical fields.",1983,"Healthcare, Medical Education, Research",Yes,No,Yes,Yes,University Medical Center,"Medicine, Healthcare, Medical Research"
ACAD SINICA,https://www.sinica.edu.tw/,"Taipei, Taiwan","Academia Sinica is Taiwan's national research academy, focusing on both basic and applied research in a wide range of disciplines including mathematics, physical sciences, life sciences, and social sciences. It plays a key role in scientific research in Taiwan.",1928,"Research, Higher Education",Yes,No,Yes,No,National Research Academy,"Mathematics, Physical Sciences, Life Sciences, Social Sciences"
ACAD ZIEKENHUIS GRONINGEN,https://www.umcg.nl/,"Groningen, Netherlands","UMCG is one of the largest hospitals in the Netherlands, combining patient care, education, and research. It is affiliated with the University of Groningen and specializes in complex care and research in a wide range of medical disciplines.",1797,"Healthcare, Medical Education, Research",Yes,No,Yes,Yes,University Medical Center,"Medicine, Healthcare, Medical Research"
ACAD ZIEKENHUIS LEIDEN HODN LUMC,https://www.lumc.nl/,"Leiden, Netherlands","LUMC is a university hospital affiliated with Leiden University. It is known for its medical research, education, and specialized healthcare services, particularly in the fields of oncology, immunology, and regenerative medicine.",1575 (Leiden University); LUMC was established in 1996,"Healthcare, Medical Education, Research",Yes,No,Yes,Yes,University Medical Center,"Medicine, Oncology, Immunology, Regenerative Medicine"
ACAD ZIEKENHUIS MAASTRICHT,https://www.mumc.nl/,"Maastricht, Netherlands","MUMC+ is a leading academic medical center in the Netherlands, affiliated with Maastricht University. It combines patient care, research, and education, focusing on prevention and treatment, with special emphasis on public health and personalized medicine.",1991 (Maastricht University); MUMC+ was established in 2008,"Healthcare, Medical Education, Research",Yes,No,Yes,Yes,University Medical Center,"Medicine, Public Health, Personalized Medicine"
ADITYA COLLEGE ENG,https://www.adityatekkali.edu.in/,"Surampalem, Andhra Pradesh, India",Aditya College of Engineering offers undergraduate and postgraduate programs in various engineering disciplines. The institution is committed to providing quality education and fostering innovation in technical fields.,2004,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
AFFILIATED HOSPITAL ZUNYI MEDICAL COLLEG,http://www.zmu.edu.cn/ (Zunyi Medical University),"Zunyi, Guizhou, China","The Affiliated Hospital of Zunyi Medical College is a large, comprehensive hospital affiliated with Zunyi Medical University. It provides medical services, education, and conducts research in various medical fields.",1947,"Healthcare, Medical Education, Research",Yes,No,Yes,Yes,University Hospital,"Medicine, Healthcare, Medical Research"
AHMED ENG COLLEGE DHAANISH,http://www.aec.ac.in/,"Ahmedabad, Gujarat, India",Ahmedabad Engineering College offers undergraduate programs in engineering and technology. The institution is dedicated to providing quality technical education and fostering an environment conducive to innovation and practical learning.,2004,"Higher Education, Engineering",No,Yes,No,No,Private Engineering College,"Engineering, Technology"
ALI DAYI TURIZM TARIM SU UERUENLERI YETI,Not available,Turkey,"Ali Dayi Turizm Tarim is a company involved in tourism, agriculture, and aquaculture in Turkey. It focuses on the cultivation and production of seafood, along with activities in tourism and agriculture.",Information not readily available,"Agriculture, Aquaculture, Tourism",No,Yes,No,No,Not applicable,Not applicable
