Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center
BAITE ENVIRONMENTAL PROTECTION TECHNOLOG,baiteep.com,China,BAITE Environmental Protection Technology specializes in environmental protection and waste treatment technologies.,Information not readily available,Environmental Protection,No,Yes,No,No
BEIJING ANBAISHENG BIOLOGICAL TECHNOLOGY,Information not readily available,"Beijing, China",Specializes in biological technology and solutions.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING BOHUI RUIJIN BIOLOGICAL TECHNOLO,Information not readily available,"Beijing, China",Focuses on biological technology with applications in healthcare.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING HUANUOAOMEI GENE BIOTECHNOLOGY,Information not readily available,"Beijing, China",Engaged in gene biotechnology and related research.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING HUATANYUANXIN ELECTRONIC TECHNOL,Information not readily available,"Beijing, China",Focuses on electronic technology solutions.,Information not readily available,Electronics,No,Yes,No,No
BEIJING HUAXIA XINGYANG BIOLOGICAL TECHN,Information not readily available,"Beijing, China",Specializes in biological technology and applications.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING JINAOFU BIOENGINEERING TECHNOLOG,Information not readily available,"Beijing, China",Focuses on bioengineering and related technologies.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING MIANYI FANGZHOU MEDICAL TECHNOLO,Information not readily available,"Beijing, China",Provides medical technology solutions.,Information not readily available,Medical Technology,No,Yes,No,No
BEIJING TIANHENG JUNWEI MEDICAL TECHNOLO,Information not readily available,"Beijing, China",Specializes in medical technology solutions.,Information not readily available,Medical Technology,No,Yes,No,No
BEIJING WEIMING YUANSHANG MOLECULAR TECH,Information not readily available,"Beijing, China",Focuses on molecular technology.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING XINHERUIEN BIOMEDICAL TECHNOLOGY,Information not readily available,"Beijing, China",Engaged in biomedical technology.,Information not readily available,Biomedical Technology,No,Yes,No,No
BEIJING YISENBIO BIOLOGICAL TECHNOLOGY,Information not readily available,"Beijing, China",Specializes in biological technology.,Information not readily available,Biotechnology,No,Yes,No,No
BEIJING YUEKANG KECHUANG MEDICAL TECHNOL,Information not readily available,"Beijing, China",Focuses on medical technology solutions.,Information not readily available,Medical Technology,No,Yes,No,No
BEIJING ZHONGJIAN ANTAI DIAGNOSIS TECHNO,Information not readily available,"Beijing, China",Specializes in diagnostic technology.,Information not readily available,Diagnostic Technology,No,Yes,No,No
BEIJING ZHONGKE HONGWEI MEDICAL TECHNOLO,Information not readily available,"Beijing, China",Provides medical technology solutions.,Information not readily available,Medical Technology,No,Yes,No,No
BEIJING ZHONGYITANG MEDICAL TECHNOLOGY,Information not readily available,"Beijing, China",Focuses on medical technology and solutions.,Information not readily available,Medical Technology,No,Yes,No,No
BIAOXIN BIOMEDICAL TECHNOLOGY SHANGHAI,biaoxinbio.com,"Shanghai, China",Specializes in biomedical technology and solutions.,Information not readily available,Biomedical Technology,No,Yes,No,No
