Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
ILDONG PHARM CO LTD,,,"ILDONG PHARM CO LTD is a South Korean pharmaceutical company engaged in the research, development, manufacturing, and distribution of pharmaceutical products, health supplements, and functional foods.",,Pharmaceuticals,No,Yes,Yes,No,,
ILERA DERM LLC,,,"ILERA DERM LLC specializes in the development of skincare products, particularly focusing on treatments for various skin conditions using natural and effective ingredients.",,Skincare / Dermatology,No,Yes,No,No,,
ILLINOIS TOOL WORKS INC,https://www.itw.com/,"Glenview, Illinois, United States","Illinois Tool Works Inc. (ITW) is a global manufacturer of industrial products and equipment, serving diversified markets worldwide, including automotive, food equipment, and electronics.",1912,Industrial Manufacturing,No,Yes,No,No,,
ILLUCIDX INC,,,"ILLUCIDX INC is a biotechnology company focusing on the development of diagnostic solutions, particularly for the detection of infectious diseases, including COVID-19.",,Biotechnology / Diagnostics,No,Yes,Yes,No,,
ILLUMINA INC,https://www.illumina.com/,"San Diego, California, United States","Illumina, Inc. is a global leader in DNA sequencing and array-based technologies, serving the needs of genomics research, clinical applications, and personalized medicine.",1998,Biotechnology / Genomics,No,Yes,Yes,No,,
ILOF-INTELLIGENT LAB FIBER LDA,https://www.ilof.tech/,"Porto, Portugal",iLoF (Intelligent Lab on Fiber) is a technology company specializing in the development of photonics and artificial intelligence-based solutions for the diagnosis and treatment of complex diseases.,2019,Biotechnology / Photonics,No,Yes,Yes,No,,
ILYTICA LLC,,,"ILYTICA LLC focuses on providing analytical solutions and consultancy services, particularly in the healthcare and pharmaceutical sectors.",,Healthcare Consulting,No,Yes,No,No,,
IMAGENE ME SA,https://www.imageneme.com/,"Paris, France","Imagene Me is a biotechnology company that provides personalized genetic analysis services, helping individuals understand their genetic predispositions to various health conditions.",2020,Biotechnology / Genetic Analysis,No,Yes,No,No,,
IMAGINATIVES GROUP LTD,,,"Imaginatives Group Ltd is a creative technology company, focusing on the development of innovative solutions in the fields of virtual reality, augmented reality, and digital health.",,Technology / Digital Health,No,Yes,No,No,,
IMARA INC,https://www.imaratx.com/,"Boston, Massachusetts, United States","Imara Inc. is a biopharmaceutical company dedicated to developing and commercializing innovative therapies for patients with rare genetic disorders, particularly focusing on hemoglobinopathies.",2016,Biopharmaceuticals,No,Yes,Yes,No,,
IMBA MOLECULAR BIOTECHNOLOGY INST GMBH,https://www.imba.oeaw.ac.at/,"Vienna, Austria",IMBA (Institute of Molecular Biotechnology) is a leading research institute that focuses on innovative research in molecular biology and biotechnology to understand fundamental biological processes.,1999,Biotechnology / Research,No,No,Yes,No,,
IMBRIA PHARM INC,,,Imbria Pharmaceuticals is a clinical-stage biopharmaceutical company focused on developing innovative therapies for cardiovascular and metabolic diseases.,,Biopharmaceuticals,No,Yes,Yes,No,,
IMCHECK THERAPEUTICS,https://www.imchecktherapeutics.com/,"Marseille, France",ImCheck Therapeutics is a clinical-stage biotechnology company developing novel immune-modulating antibodies to treat cancer and autoimmune diseases.,2015,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMEC VZW,https://www.imec-int.com/,"Leuven, Belgium","Imec is a world-leading research and innovation hub in nanoelectronics and digital technologies, conducting research in fields like health, energy, and electronics.",1984,Research / Nanoelectronics,No,No,Yes,No,,
IMEDICALS SRL,,,iMedicals SRL is a medical technology company focused on developing advanced digital health solutions and devices to improve patient care and clinical outcomes.,,Medical Technology / Digital Health,No,Yes,No,No,,
IMEL BIOTHERAPEUTICS INC,,,IMEL Biotherapeutics Inc. is a biotechnology company focused on developing innovative biologics for the treatment of cancer and autoimmune diseases.,,Biotechnology,No,Yes,Yes,No,,
IMGEN LLC,,,IMGEN LLC is a biotechnology company engaged in the research and development of genetic therapies and diagnostic solutions for various medical conditions.,,Biotechnology / Genetic Therapy,No,Yes,Yes,No,,
IMMATICS BIOTECHNOLOGIES GMBH,https://immatics.com/,"TÃ¼bingen, Germany",Immatics Biotechnologies GmbH is a clinical-stage biopharmaceutical company focused on developing T-cell receptor-based immunotherapies for the treatment of cancer.,2000,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No,,
IMMED THERAPEUTICS CO LTD,,,"IMMED Therapeutics is a biotechnology company focused on developing novel therapies for the treatment of infectious diseases, including antiviral and antimicrobial treatments.",,Biotechnology / Therapeutics,No,Yes,Yes,No,,
IMMODULON THERAPEUTICS LTD,https://www.immodulon.com/,"London, United Kingdom","Immodulon Therapeutics Ltd is a clinical-stage biotechnology company developing immune-modulating therapies, particularly focusing on cancer immunotherapy.",2007,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMORNA HANGZHOU BIOTECHNOLOGY CO LTD,,"Hangzhou, China","Immorna Biotechnology Co., Ltd. is a biotechnology company that specializes in the development of mRNA-based therapeutics and vaccines for various infectious diseases and cancers.",,Biotechnology / mRNA Technology,No,Yes,Yes,No,,
IMMUGEN PHARMA LLC,,,Immugen Pharma LLC is a biopharmaceutical company focused on the discovery and development of novel therapies to modulate the immune system for the treatment of autoimmune diseases and cancer.,,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No,,
IMMUNACOR LLC,,,Immunacor LLC is a biotechnology company specializing in the development of therapeutic antibodies and immune-modulating treatments for infectious diseases and cancer.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNE BIOSOLUTIONS INC,https://www.immunebiosolutions.com/,"Sherbrooke, Quebec, Canada","Immune Biosolutions is a biotechnology company focused on the discovery and development of next-generation antibodies for use in diagnostic and therapeutic applications, particularly in infectious diseases and cancer.",2012,Biotechnology / Antibody Development,No,Yes,Yes,No,,
IMMUNESURE LLC,,,ImmuneSure LLC is a biotechnology company engaged in the development of immune diagnostics and therapeutic solutions to enhance immune system performance in combating infectious diseases.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNETHEP SA,https://www.immunethep.com/,"Cantanhede, Portugal","Immunethep SA is a biotechnology company developing novel immunotherapies and vaccines to treat bacterial infections, focusing on targeting and neutralizing bacterial immune evasion mechanisms.",2014,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNIC AG,https://www.immunic-therapeutics.com/,"Planegg-Martinsried, Germany","Immunic AG is a clinical-stage biopharmaceutical company focused on developing orally available, small molecule therapies for chronic inflammatory and autoimmune diseases.",2016,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No,,
IMMUNITOR THAILAND CO LTD,http://immunitor.com/,"Bangkok, Thailand","Immunitor Thailand Co. Ltd. is a biotechnology company specializing in the development of oral vaccines and immunotherapies, with a focus on infectious diseases such as tuberculosis and HIV.",1998,Biotechnology / Vaccines,No,Yes,Yes,No,,
IMMUNITY BIO INC,https://www.immunitybio.com/,"Culver City, California, United States","ImmunityBio, Inc. is a clinical-stage biotechnology company developing next-generation immunotherapies and cell therapies to treat cancer and infectious diseases.",2014,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNO MAX CO LTD,,,Immuno Max Co. Ltd. is a biotechnology company engaged in the development of immunomodulatory products and therapies to enhance immune system function for various health conditions.,,Biotechnology / Immunomodulation,No,Yes,Yes,No,,
IMMUNOFLEX THERAPEUTICS INC,,,Immunoflex Therapeutics Inc. is a biotechnology company focused on developing flexible and innovative immunotherapies for cancer and autoimmune diseases.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNOGENES KFT,,,"ImmunoGenes Kft is a biotechnology company that specializes in the development of novel antibody technologies and immune system research, particularly focusing on enhancing the immune response for therapeutic purposes.",,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNOLOGIK GMBH,,,ImmunoLogik GmbH is a German biotechnology company focused on developing antiviral therapies and immune-modulating drugs to combat viral infections and associated diseases.,,Biotechnology / Antiviral Therapy,No,Yes,Yes,No,,
IMMUNOLOGY DIAGNOSTICS LLC,,,Immunology Diagnostics LLC is a healthcare company that develops and provides diagnostic tools and services focused on immunological disorders and infectious diseases.,,Healthcare / Diagnostics,No,Yes,No,No,,
IMMUNOLOGY INST STATE SCI CENT,,,"Immunology Institute State Science Center is a government-affiliated research institution dedicated to studying the immune system, developing vaccines, and advancing immunological research.",,Research / Immunology,Yes,No,Yes,No,,
IMMUNOLUX INT CORP,,,ImmunoLux International Corp. is a biotechnology company focusing on the development of immune-enhancing products and therapies aimed at treating various chronic diseases and conditions.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNOME INC,https://immunome.com/,"Exton, Pennsylvania, United States",Immunome Inc. is a biotechnology company that leverages its proprietary discovery engine to develop first-in-class antibody therapeutics for cancer and infectious diseases.,2008,Biotechnology / Antibody Therapeutics,No,Yes,Yes,No,,
IMMUNOMIC THERAPEUTICS INC,https://www.immunomix.com/,"Rockville, Maryland, United States","Immunomic Therapeutics Inc. is a clinical-stage biotechnology company developing nucleic acid immunotherapy platforms, focusing on cancer immunotherapy and infectious diseases.",2006,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNOPHOTONICS INC,https://immunophotonics.com/,"St. Louis, Missouri, United States",Immunophotonics Inc. is a biotechnology company developing novel immuno-oncology therapies aimed at triggering systemic anti-tumor immune responses to treat cancer.,2010,Biotechnology / Immuno-Oncology,No,Yes,Yes,No,,
IMMUNOTEX RES & PRODN ASSOC LLC,,,"ImmunoTex Research & Production Association LLC is involved in the research, development, and production of immunological products and therapies, focusing on enhancing the immune system's response to diseases.",,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNOVA THERAPEUTICS LTD,,,Immunova Therapeutics Ltd is a biotechnology company focused on developing advanced immunotherapies and vaccines for the treatment of infectious diseases and cancer.,,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUNOVACCINE TECHNOLOGIES INC,https://www.imv-inc.com/,"Dartmouth, Nova Scotia, Canada","ImmunoVaccine Technologies Inc., now known as IMV Inc., is a clinical-stage biopharmaceutical company developing immunotherapies, including cancer vaccines and infectious disease vaccines, using its proprietary DPX platform.",2000,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No,,
IMMUNRISE SAS,,,"Immunrise SAS is a biotechnology company that focuses on developing immunotherapy solutions for treating infectious diseases and cancer, leveraging immune system modulation.",,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMUPHARMA FRANCE SA,https://www.immupharma.com/,"Paris, France","ImmuPharma France SA is a specialty pharmaceutical company focused on the development of innovative medicines in the field of autoimmune diseases, cancer, and inflammation, with a strong emphasis on Lupuzor, a lupus treatment.",1999,Pharmaceuticals / Biotechnology,No,Yes,Yes,No,,
IMMURON LTD,https://www.immuron.com.au/,"Melbourne, Australia","Immuron Ltd is a biopharmaceutical company that specializes in the development and commercialization of orally delivered targeted polyclonal antibodies for the treatment of infectious diseases, including travelerâs diarrhea and C. difficile infections.",1994,Biopharmaceuticals / Immunotherapy,No,Yes,Yes,No,,
IMMUTRIX THERAPEUTICS INC,,,"Immutrix Therapeutics Inc. is a biotechnology company focused on developing advanced therapies for immune system modulation, particularly targeting inflammatory and autoimmune diseases.",,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMVENTION THERAPEUTIX,,,"Immvention Therapeutix is a biotechnology company engaged in the discovery and development of novel therapies for autoimmune and inflammatory diseases, with a focus on targeting innate immune pathways.",,Biotechnology / Immunotherapy,No,Yes,Yes,No,,
IMMVIRA BIOPHARM CO LTD,https://www.immvira.com/,"Shenzhen, China",ImmVira Biopharm Co. Ltd. is a biotechnology company that specializes in the development of oncolytic viruses and other immuno-oncology therapies aimed at treating various types of cancer.,2015,Biotechnology / Immuno-Oncology,No,Yes,Yes,No,,
IMOPHORON LTD,https://www.imophoron.com/,"Bristol, United Kingdom","Imophoron Ltd is a biotechnology company that focuses on developing next-generation vaccines using its proprietary ADDomer platform, designed to rapidly produce and scale vaccine candidates for infectious diseases.",2017,Biotechnology / Vaccines,No,Yes,Yes,No,,
IMPACT BIOLIFE SCI INC,,,"Impact Biolife Sciences Inc. is a biotechnology company focused on developing innovative therapies and technologies aimed at treating severe and chronic diseases, including cancer and autoimmune disorders.",,Biotechnology,No,Yes,Yes,No,,
IMPACT NATURALS INC,https://impactnaturals.com/,"Stamford, Connecticut, United States","Impact Naturals Inc. is a health and wellness company that develops and markets cannabinoid-based supplements, using its proprietary formulas to enhance bioavailability and efficacy for health and wellness applications.",2020,Health & Wellness / Nutraceuticals,No,Yes,No,No,,
IMPACTFUL HEALTH RES & DEV INC,,,"Impactful Health Research & Development Inc. is a biotechnology company focused on developing innovative solutions and therapies for health challenges, particularly in the areas of disease prevention and management.",,Biotechnology,No,Yes,Yes,No,,
